family,file_read,file_created,regkey_written,regkey_read,apistats,command_line,directory_enumerated,dll_loaded,tree_command_line,arguments,urls,proc_pid
G,38717,0,0,0,0,0,0,0,0,0,3,4
G,38138,0,0,0,0,0,0,0,0,0,23,7
G,38649,0,0,0,0,271,0,0,0,3,3,6
G,39704,0,0,0,0,0,0,0,0,0,1,3
G,38512,0,0,0,0,0,0,0,0,0,4,0
G,40667,0,0,0,0,0,0,0,0,0,1,3
G,38170,0,0,0,0,0,0,0,0,0,3,4
G,39488,0,0,0,0,0,0,0,0,0,1,4
G,37202,0,0,0,0,2110,0,0,0,50,7,9
G,37407,0,0,0,0,0,0,0,0,0,0,8
G,38747,0,0,0,0,0,0,0,0,0,4,5
G,39513,0,0,0,0,0,0,0,0,0,18,2
G,39076,0,0,0,0,0,0,0,0,0,3,4
G,35968,0,0,0,0,1026,0,0,0,24,4,1
G,38610,0,0,0,0,882,0,0,0,19,7,4
G,39458,0,0,0,0,2111,0,0,0,50,2,5
G,40502,0,0,0,0,0,0,0,0,0,5,6
G,39546,0,0,0,0,0,0,0,0,0,1,3
G,40573,0,0,0,0,0,0,0,0,0,4,3
G,40104,0,0,0,0,1026,0,0,0,24,0,4
G,37308,0,0,0,0,0,0,0,0,0,4,7
G,36681,0,0,0,0,0,0,0,0,0,20,2
G,40574,0,0,0,0,1076,0,0,0,26,3,5
G,38552,0,0,0,0,2111,0,0,0,50,2,6
G,38931,0,0,0,0,0,0,0,0,0,5,4
G,39658,0,0,0,0,2110,0,0,0,50,9,4
G,40298,0,0,0,0,0,0,0,0,0,3,3
G,37930,0,0,0,0,2113,0,0,0,50,0,5
G,41735,0,0,0,0,0,0,0,0,0,6,2
G,39590,0,0,0,0,1036,0,0,0,24,0,5
G,39120,0,0,0,0,0,0,0,0,0,3,4
G,41698,0,0,0,0,1035,0,0,0,24,17,2
G,42290,0,0,0,0,0,0,0,0,0,3,1
G,41252,0,0,0,0,2109,0,0,0,50,1,8
G,41632,0,0,0,0,0,0,0,0,0,4,3
G,44719,0,0,0,0,1036,0,0,0,24,2,6
G,42638,0,0,0,0,1075,0,0,0,26,2,5
G,42656,0,0,0,0,0,0,0,0,0,3,2
G,40436,0,0,0,0,1087,0,0,0,25,7,5
G,42255,0,0,0,0,0,0,0,0,0,28,5
G,44276,0,0,0,0,1036,0,0,0,24,8,4
G,41062,0,0,0,0,0,0,0,0,0,23,3
G,42170,0,0,0,0,0,0,0,0,0,2,0
G,42912,0,0,0,0,1036,0,0,0,24,3,4
G,43988,0,0,0,0,0,0,0,0,0,4,3
G,44914,0,0,0,0,1036,0,0,0,24,3,2
G,47335,0,0,0,0,0,0,0,0,0,4,0
G,43423,0,0,0,0,0,0,0,0,0,5,1
G,41516,0,0,0,0,2191,0,0,0,51,10,8
G,43629,0,0,0,0,1118,0,0,0,25,2,8
G,45633,0,0,0,0,0,0,0,0,0,3,4
G,44012,0,0,0,0,0,0,0,0,0,20,1
G,45152,0,0,0,0,48,0,0,0,1,4,3
G,44909,0,0,0,0,0,0,0,0,0,1,1
G,44593,0,0,0,0,0,0,0,0,0,3,1
G,46502,0,0,0,0,0,0,0,0,0,0,2
G,45808,0,0,0,0,0,0,0,0,0,3,2
G,47084,0,0,0,0,0,0,0,0,0,2,1
G,52121,0,0,0,0,0,0,0,0,0,13,4
G,9365,0,0,0,0,48,0,0,0,1,1,2
G,43303,0,0,0,0,114,0,0,0,1,30,7
G,43423,0,0,0,0,1085,0,0,0,26,7,2
G,52111,0,0,0,0,81,0,0,0,1,8,10
G,53338,0,0,0,0,1034,0,0,0,24,2,6
G,42422,0,0,0,0,2666,0,0,0,59,15,12
G,37590,0,0,0,0,7664,0,0,0,153,80,26
G,41058,0,0,0,0,0,0,0,0,0,9,6
G,47088,0,0,0,0,1036,0,0,0,24,15,8
G,46788,2,0,0,0,113,0,0,0,3,19,5
G,36973,0,0,0,0,1085,0,0,0,26,31,13
G,43237,0,0,0,0,1913,0,0,0,39,15,13
G,44731,0,0,0,0,2261,0,0,0,28,31,8
G,46402,0,0,0,0,0,0,0,0,0,17,5
G,45905,0,0,0,0,1036,0,0,0,24,3,2
G,41604,0,0,0,0,0,0,0,0,0,7,3
G,0,6,0,0,0,486,0,0,0,6,11,13
G,11,0,0,0,0,411,0,0,0,5,19,14
G,0,0,0,0,0,2109,0,0,0,50,8,11
G,0,0,0,0,0,0,0,0,0,0,7,11
G,3,1,0,0,0,1365,0,0,0,27,20,13
G,0,0,0,0,0,1086,0,0,0,26,9,12
G,0,0,0,0,0,0,0,0,0,0,8,11
G,0,0,0,0,0,81,0,0,0,1,6,11
G,0,0,0,0,0,1037,0,0,0,24,5,11
G,0,0,0,0,0,1075,0,0,0,26,1,4
G,0,0,0,0,0,1428,0,0,0,33,5,2
G,0,0,0,0,0,1075,0,0,0,26,8,14
G,0,0,0,0,0,1118,0,0,0,25,6,12
G,0,0,0,0,0,0,0,0,0,0,4,11
G,0,0,0,0,0,0,0,0,0,0,22,9
G,0,0,0,0,0,0,0,0,0,0,5,11
G,0,0,0,0,0,1087,0,0,0,26,7,12
G,0,0,0,0,0,0,0,0,0,0,4,9
G,0,0,0,0,0,0,0,0,0,0,4,10
G,0,0,0,0,0,0,0,0,0,0,4,10
G,0,0,0,0,0,1036,0,0,0,24,4,6
G,0,0,0,0,0,1457,0,0,0,34,7,15
G,0,0,0,0,0,0,0,0,0,0,2,10
G,0,0,0,0,0,0,0,0,0,0,3,10
G,0,0,0,0,0,0,0,0,0,0,17,8
G,0,0,0,0,0,1037,0,0,0,24,7,7
G,0,0,0,0,0,0,0,0,0,0,1,11
G,0,0,0,0,0,0,0,0,0,0,4,9
G,0,0,0,0,0,0,0,0,0,0,3,5
G,0,0,0,0,0,1859,0,0,0,47,19,7
G,0,0,0,0,0,0,0,0,0,0,11,9
G,0,0,0,0,0,81,0,0,0,1,15,5
G,0,0,0,0,0,314,0,0,0,4,4,9
G,0,0,0,0,0,81,0,0,0,1,21,10
G,0,0,0,0,0,222,0,0,0,2,4,11
G,0,0,0,0,0,0,0,0,0,0,5,5
G,0,0,0,0,0,0,0,0,0,0,7,0
G,0,0,0,0,0,0,0,0,0,0,5,0
G,0,0,0,0,0,0,0,0,0,0,5,0
G,0,0,0,0,0,1037,0,0,0,24,4,9
G,0,0,0,0,0,0,0,0,0,0,25,5
G,0,0,0,0,0,0,0,0,0,0,4,7
G,0,0,0,0,0,0,0,0,0,0,5,0
G,0,0,0,0,0,0,0,0,0,0,4,0
G,0,0,0,0,0,0,0,0,0,0,5,9
G,0,0,0,0,0,0,0,0,0,0,8,8
G,0,0,0,0,0,0,0,0,0,0,0,11
G,0,0,0,0,0,48,0,0,0,1,4,10
G,0,0,0,0,0,0,0,0,0,0,17,8
